epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,268.515,0.94174,0.6619,1.06588,0.84008,0.8206,0.87163,0.5943,0.93367,0.7023,1.09114,0.00118317,0.00118317,0.00118317
29,278.21,0.9416,0.65622,1.06076,0.75511,0.85306,0.88229,0.57852,0.95636,0.69818,1.10938,0.0011807,0.0011807,0.0011807
30,287.964,0.90651,0.64072,1.04415,0.6914,0.77049,0.80949,0.54791,0.87926,0.64212,1.02293,0.00117822,0.00117822,0.00117822
31,297.632,0.92055,0.6431,1.04766,0.79264,0.83036,0.8857,0.57791,0.98569,0.60676,1.07208,0.00117575,0.00117575,0.00117575
32,307.266,0.94757,0.63797,1.05333,0.83059,0.86021,0.9226,0.59215,1.00531,0.60009,1.11159,0.00117327,0.00117327,0.00117327
33,316.968,0.93566,0.63952,1.05799,0.83797,0.90374,0.92935,0.60212,0.94836,0.60694,1.09878,0.0011708,0.0011708,0.0011708
34,326.452,0.93091,0.63771,1.05499,0.88321,0.77129,0.86921,0.57987,0.94976,0.6619,1.10946,0.00116833,0.00116833,0.00116833
35,336.051,0.89796,0.60931,1.04575,0.81821,0.87202,0.88465,0.59172,0.91054,0.62347,1.07866,0.00116585,0.00116585,0.00116585
36,345.739,0.91516,0.62022,1.04851,0.81038,0.89065,0.92315,0.61862,0.99238,0.64625,1.12392,0.00116337,0.00116337,0.00116337
37,355.394,0.90308,0.61862,1.04286,0.77771,0.92126,0.89117,0.58254,0.93879,0.62486,1.1016,0.0011609,0.0011609,0.0011609
38,365.207,0.90319,0.60109,1.0432,0.81783,0.88035,0.92592,0.61634,0.92304,0.59326,1.07752,0.00115843,0.00115843,0.00115843
39,374.858,0.88328,0.60092,1.04147,0.78109,0.85714,0.86656,0.60391,0.92286,0.59036,1.09124,0.00115595,0.00115595,0.00115595
40,384.443,0.88973,0.59136,1.03584,0.87275,0.80655,0.92367,0.62195,0.95252,0.60273,1.08563,0.00115348,0.00115348,0.00115348
41,394.258,0.88786,0.59158,1.04303,0.90677,0.79076,0.91772,0.59087,0.96654,0.62743,1.0678,0.001151,0.001151,0.001151
42,403.833,0.89058,0.59793,1.04304,0.77497,0.89013,0.90498,0.609,0.95778,0.6058,1.11159,0.00114853,0.00114853,0.00114853
43,413.297,0.91425,0.6044,1.04998,0.77326,0.89646,0.91612,0.62226,0.92857,0.56975,1.11986,0.00114605,0.00114605,0.00114605
44,423.081,0.87982,0.58078,1.03239,0.85881,0.88355,0.94242,0.61857,0.9104,0.58787,1.06891,0.00114357,0.00114357,0.00114357
45,432.754,0.87103,0.58232,1.02679,0.77351,0.91369,0.90596,0.58886,0.88224,0.59237,1.06836,0.0011411,0.0011411,0.0011411
46,442.545,0.87124,0.58497,1.03686,0.77256,0.96726,0.93336,0.61918,0.91917,0.58988,1.06879,0.00113863,0.00113863,0.00113863
47,452.259,0.84928,0.5627,1.0198,0.87569,0.88472,0.94538,0.62948,0.93483,0.55192,1.07556,0.00113615,0.00113615,0.00113615
48,461.92,0.86215,0.57289,1.02374,0.80929,0.88095,0.91514,0.56958,0.94811,0.61766,1.06115,0.00113368,0.00113368,0.00113368
49,471.461,0.86806,0.57936,1.02739,0.81453,0.87557,0.91826,0.65011,0.85475,0.59522,1.05805,0.0011312,0.0011312,0.0011312
50,481.189,0.85566,0.56374,1.02101,0.82211,0.87202,0.92173,0.62169,0.96076,0.54639,1.11081,0.00112873,0.00112873,0.00112873
51,490.862,0.85169,0.5615,1.01949,0.94467,0.80271,0.92297,0.62164,0.9196,0.55459,1.11811,0.00112625,0.00112625,0.00112625
52,500.454,0.86141,0.56428,1.0209,0.83083,0.93538,0.90648,0.60252,0.93602,0.55016,1.09424,0.00112378,0.00112378,0.00112378
53,510.117,0.86258,0.56895,1.02448,0.85308,0.91369,0.93198,0.6271,0.89286,0.59389,1.06046,0.0011213,0.0011213,0.0011213
54,519.58,0.86366,0.56049,1.01722,0.83949,0.81913,0.84077,0.6209,0.88434,0.5679,1.06638,0.00111882,0.00111882,0.00111882
55,529.24,0.8477,0.54018,1.01116,0.86544,0.90898,0.95707,0.65867,0.8889,0.53152,1.0674,0.00111635,0.00111635,0.00111635
56,538.772,0.8574,0.55396,1.0195,0.82613,0.87722,0.89833,0.61623,0.90936,0.53276,1.0561,0.00111388,0.00111388,0.00111388
57,548.104,0.85682,0.56412,1.01845,0.84994,0.90476,0.91843,0.65656,0.80591,0.49632,1.0141,0.0011114,0.0011114,0.0011114
58,557.678,0.84619,0.54759,1.00482,0.82426,0.84821,0.90551,0.55167,0.96009,0.59774,1.11305,0.00110892,0.00110892,0.00110892
59,567.447,0.84381,0.55118,1.01004,0.78398,0.85885,0.85168,0.57352,0.87586,0.56668,1.02783,0.00110645,0.00110645,0.00110645
60,577.107,0.82482,0.53604,1.00299,0.84552,0.80757,0.88894,0.58035,0.91846,0.55626,1.07641,0.00110397,0.00110397,0.00110397
61,586.958,0.83694,0.54716,1.00768,0.83445,0.94643,0.9358,0.66967,0.83206,0.53355,1.0199,0.0011015,0.0011015,0.0011015
62,596.562,0.82006,0.53264,1.00136,0.82162,0.95536,0.9307,0.62991,0.83093,0.51284,1.00433,0.00109903,0.00109903,0.00109903
63,605.914,0.82745,0.51908,1.002,0.83314,0.92911,0.95948,0.66572,0.84915,0.48387,1.05144,0.00109655,0.00109655,0.00109655
64,615.549,0.83908,0.54947,1.01421,0.93758,0.84101,0.93401,0.62819,0.80403,0.52044,0.99158,0.00109408,0.00109408,0.00109408
65,624.897,0.82242,0.53458,1.00211,0.75892,0.88393,0.89113,0.60705,0.87951,0.58549,1.03402,0.0010916,0.0010916,0.0010916
66,634.125,0.84499,0.54022,1.017,0.82199,0.86012,0.91475,0.60109,0.93545,0.5373,1.11664,0.00108913,0.00108913,0.00108913
67,643.683,0.82536,0.52644,1.01232,0.80051,0.87741,0.90693,0.60145,0.91821,0.58692,1.05663,0.00108665,0.00108665,0.00108665
68,653.101,0.83538,0.53298,0.9995,0.79113,0.90566,0.92389,0.65831,0.871,0.51712,1.10391,0.00108417,0.00108417,0.00108417
69,662.435,0.83514,0.54096,1.00615,0.84939,0.88219,0.93841,0.64317,0.8614,0.5479,1.05666,0.0010817,0.0010817,0.0010817
70,672.069,0.82558,0.52468,1.00058,0.87455,0.87004,0.93859,0.6479,0.91553,0.50606,1.06247,0.00107923,0.00107923,0.00107923
71,681.488,0.81519,0.51552,1.0002,0.85474,0.90628,0.93852,0.63701,0.87405,0.53183,1.03839,0.00107675,0.00107675,0.00107675
72,690.927,0.80705,0.51282,0.99715,0.82448,0.93452,0.93035,0.64728,0.84471,0.49766,1.01814,0.00107427,0.00107427,0.00107427
73,700.571,0.84758,0.54115,1.01338,0.83108,0.82615,0.86827,0.60469,0.86765,0.6379,1.08686,0.0010718,0.0010718,0.0010718
74,709.914,0.80716,0.52205,1.00397,0.94462,0.89721,0.94471,0.65521,0.87393,0.50063,1.04236,0.00106933,0.00106933,0.00106933
75,719.306,0.80604,0.51966,0.99361,0.8003,0.86012,0.87215,0.62401,0.87048,0.57513,1.09975,0.00106685,0.00106685,0.00106685
76,728.958,0.79985,0.51017,0.99726,0.85264,0.90944,0.93062,0.65352,0.80425,0.52895,1.03199,0.00106437,0.00106437,0.00106437
77,738.353,0.81419,0.51013,0.99999,0.78651,0.95833,0.92677,0.64508,0.84245,0.48648,1.0644,0.0010619,0.0010619,0.0010619
78,747.846,0.8179,0.51051,1.0049,0.7654,0.95833,0.92508,0.64411,0.80827,0.49303,1.02102,0.00105942,0.00105942,0.00105942
79,757.48,0.81104,0.51493,0.99597,0.83352,0.8631,0.88468,0.65874,0.81977,0.48837,1.06124,0.00105695,0.00105695,0.00105695
80,766.822,0.7877,0.49887,0.98698,0.9062,0.88095,0.94983,0.65794,0.87628,0.49377,1.05268,0.00105448,0.00105448,0.00105448
81,776.399,0.80549,0.51298,0.99208,0.86857,0.90573,0.92679,0.65241,0.81502,0.48008,1.02703,0.001052,0.001052,0.001052
82,786.078,0.80381,0.50931,0.99016,0.88694,0.93452,0.93803,0.63493,0.89027,0.49054,1.11969,0.00104952,0.00104952,0.00104952
83,795.726,0.79389,0.49457,0.98432,0.84566,0.89286,0.91239,0.65756,0.8047,0.48727,1.02132,0.00104705,0.00104705,0.00104705
84,805.42,0.79291,0.50185,0.98975,0.82837,0.79762,0.89152,0.58969,0.94372,0.52818,1.05232,0.00104458,0.00104458,0.00104458
85,815.206,0.77987,0.49679,0.988,0.9256,0.91369,0.95674,0.67531,0.84991,0.47567,1.04196,0.0010421,0.0010421,0.0010421
86,824.806,0.79493,0.50249,0.98918,0.88622,0.93091,0.95947,0.6738,0.81235,0.50649,1.00252,0.00103962,0.00103962,0.00103962
87,834.45,0.79641,0.49899,0.98954,0.84878,0.95314,0.95177,0.64157,0.83867,0.48533,1.02714,0.00103715,0.00103715,0.00103715
88,844.181,0.80813,0.50454,0.99275,0.88166,0.9047,0.92457,0.64781,0.91991,0.52624,1.068,0.00103468,0.00103468,0.00103468
89,853.77,0.79805,0.51018,0.98944,0.86484,0.9375,0.9542,0.6651,0.76592,0.47153,0.96538,0.0010322,0.0010322,0.0010322
90,863.453,0.79055,0.49816,0.98156,0.93116,0.87807,0.94627,0.63881,0.8346,0.49077,1.02299,0.00102972,0.00102972,0.00102972
91,873.065,0.78896,0.49445,0.98462,0.79538,0.92352,0.95464,0.65207,0.8585,0.54714,1.05984,0.00102725,0.00102725,0.00102725
92,882.611,0.77926,0.49433,0.98917,0.82088,0.95385,0.93811,0.66986,0.80065,0.50186,0.97085,0.00102478,0.00102478,0.00102478
93,892.38,0.76706,0.48562,0.97765,0.82619,0.89286,0.92329,0.65799,0.80695,0.51014,0.98216,0.0010223,0.0010223,0.0010223
94,901.938,0.78842,0.50228,0.98565,0.85636,0.87307,0.93555,0.67519,0.7881,0.51021,1.01465,0.00101983,0.00101983,0.00101983
95,911.48,0.78087,0.4866,0.98302,0.94205,0.89901,0.96056,0.66502,0.88559,0.47693,1.08045,0.00101735,0.00101735,0.00101735
96,921.198,0.78099,0.48834,0.9809,0.82372,0.91369,0.92808,0.64693,0.87509,0.51536,1.04231,0.00101488,0.00101488,0.00101488
97,930.921,0.78439,0.49568,0.98017,0.83758,0.90702,0.93806,0.66783,0.84792,0.46895,1.0319,0.0010124,0.0010124,0.0010124
98,940.583,0.77519,0.49475,0.97944,0.81272,0.96218,0.94644,0.66195,0.82705,0.49655,1.00768,0.00100993,0.00100993,0.00100993
99,950.358,0.78098,0.48323,0.98329,0.78949,0.93034,0.93048,0.64799,0.88204,0.49048,1.06109,0.00100745,0.00100745,0.00100745
100,960.027,0.77327,0.47856,0.97835,0.88724,0.86972,0.94424,0.66569,0.76021,0.48049,1.02369,0.00100497,0.00100497,0.00100497
101,969.701,0.76984,0.47435,0.97481,0.87529,0.91369,0.9709,0.70552,0.74104,0.46637,1.0216,0.0010025,0.0010025,0.0010025
102,979.497,0.75781,0.47178,0.97249,0.8791,0.92692,0.95455,0.64724,0.83323,0.48181,1.05067,0.00100003,0.00100003,0.00100003
103,989.104,0.74384,0.46949,0.97792,0.80245,0.95575,0.92447,0.67257,0.79434,0.4595,1.02911,0.00099755,0.00099755,0.00099755
104,998.771,0.74818,0.46855,0.96112,0.93254,0.88421,0.95427,0.67414,0.81396,0.45754,1.04413,0.000995075,0.000995075,0.000995075
105,1008.55,0.74628,0.46854,0.96907,0.84706,0.91369,0.95442,0.69281,0.78591,0.49817,1.0206,0.0009926,0.0009926,0.0009926
106,1018.18,0.74457,0.47152,0.97033,0.75017,0.88238,0.8814,0.65136,0.78037,0.51984,1.0309,0.000990125,0.000990125,0.000990125
107,1027.92,0.75064,0.46748,0.96589,0.84974,0.95202,0.96322,0.6693,0.77051,0.50968,0.97221,0.00098765,0.00098765,0.00098765
108,1037.58,0.76054,0.47318,0.97325,0.90003,0.89286,0.94246,0.70218,0.73291,0.47034,0.98928,0.000985175,0.000985175,0.000985175
109,1047.09,0.75242,0.46652,0.97197,0.82686,0.9256,0.92393,0.69087,0.79327,0.44963,1.00906,0.0009827,0.0009827,0.0009827
110,1056.7,0.76267,0.46789,0.97809,0.83741,0.93972,0.92381,0.67817,0.84946,0.47655,1.02483,0.000980225,0.000980225,0.000980225
111,1066.45,0.7495,0.46861,0.95986,0.89945,0.90593,0.95619,0.67027,0.83588,0.44909,1.04231,0.00097775,0.00097775,0.00097775
112,1076.02,0.76241,0.47593,0.98054,0.85582,0.93452,0.95751,0.72165,0.7456,0.47183,0.98266,0.000975275,0.000975275,0.000975275
113,1085.83,0.75361,0.47087,0.9672,0.79681,0.9881,0.94801,0.69996,0.74909,0.46422,0.97363,0.0009728,0.0009728,0.0009728
114,1095.45,0.73306,0.46094,0.96039,0.77364,0.95698,0.91658,0.68018,0.79592,0.48855,1.00685,0.000970325,0.000970325,0.000970325
115,1105.06,0.74361,0.47086,0.9644,0.84757,0.93969,0.95255,0.66926,0.77331,0.52423,1.00338,0.00096785,0.00096785,0.00096785
116,1115.02,0.74593,0.46571,0.96917,0.91294,0.88916,0.94774,0.6685,0.7795,0.45965,1.01909,0.000965375,0.000965375,0.000965375
117,1124.54,0.74668,0.4619,0.96111,0.86248,0.89882,0.92134,0.65411,0.80315,0.48721,1.00941,0.0009629,0.0009629,0.0009629
118,1134.13,0.76191,0.4688,0.96073,0.8927,0.91031,0.94058,0.66017,0.83043,0.49728,0.98121,0.000960425,0.000960425,0.000960425
119,1144.07,0.73398,0.45367,0.96231,0.88976,0.89132,0.93449,0.64123,0.84017,0.50252,1.00614,0.00095795,0.00095795,0.00095795
120,1153.73,0.73896,0.46122,0.95767,0.9477,0.91369,0.97111,0.70517,0.75301,0.44609,0.97005,0.000955475,0.000955475,0.000955475
121,1163.43,0.71636,0.45294,0.95487,0.93988,0.90179,0.96718,0.68082,0.80925,0.46449,1.02545,0.000953,0.000953,0.000953
122,1173.19,0.75048,0.46087,0.9652,0.85051,0.95777,0.94742,0.66168,0.78147,0.47196,0.96667,0.000950525,0.000950525,0.000950525
123,1182.82,0.73969,0.45888,0.95741,0.82544,0.96726,0.9331,0.66467,0.79831,0.45973,1.01984,0.00094805,0.00094805,0.00094805
124,1192.51,0.74347,0.45335,0.96454,0.93574,0.90374,0.96501,0.67405,0.79286,0.43802,1.05138,0.000945575,0.000945575,0.000945575
125,1202.15,0.73024,0.44863,0.95589,0.84643,0.84856,0.92267,0.66662,0.71806,0.4621,0.97741,0.0009431,0.0009431,0.0009431
126,1211.72,0.74403,0.45946,0.96329,0.86856,0.91459,0.91613,0.69019,0.76653,0.54777,1.00206,0.000940625,0.000940625,0.000940625
127,1221.44,0.74069,0.45572,0.95617,0.85963,0.88267,0.94171,0.69141,0.81496,0.44332,0.99943,0.00093815,0.00093815,0.00093815
128,1231.27,0.72414,0.44943,0.95149,0.8361,0.98426,0.95534,0.68893,0.82034,0.44461,0.98126,0.000935675,0.000935675,0.000935675
129,1241,0.73177,0.45476,0.96079,0.8459,0.92247,0.93311,0.6744,0.76115,0.46237,0.99779,0.0009332,0.0009332,0.0009332
130,1250.79,0.73042,0.44693,0.96039,0.89324,0.87202,0.92773,0.69313,0.76771,0.43065,0.98945,0.000930725,0.000930725,0.000930725
131,1260.42,0.73318,0.45237,0.96219,0.92306,0.90846,0.94635,0.68693,0.78606,0.42994,1.0077,0.00092825,0.00092825,0.00092825
132,1269.97,0.7304,0.44406,0.96031,0.89486,0.88916,0.90867,0.67816,0.70804,0.46132,0.95735,0.000925775,0.000925775,0.000925775
133,1279.79,0.72254,0.44569,0.95387,0.90777,0.94108,0.96251,0.69435,0.78443,0.43117,0.97806,0.0009233,0.0009233,0.0009233
134,1289.4,0.73433,0.45351,0.964,0.92713,0.9663,0.97649,0.69081,0.75834,0.43575,0.97393,0.000920825,0.000920825,0.000920825
135,1299,0.72792,0.44835,0.9511,0.86555,0.95536,0.96425,0.72058,0.69939,0.47697,0.95036,0.00091835,0.00091835,0.00091835
136,1308.83,0.73647,0.45003,0.95094,0.93491,0.97544,0.97262,0.72239,0.74201,0.41279,1.00596,0.000915875,0.000915875,0.000915875
137,1318.5,0.71943,0.44233,0.95907,0.85733,0.97917,0.94902,0.67399,0.80902,0.43475,1.03433,0.0009134,0.0009134,0.0009134
138,1328.02,0.7292,0.44129,0.95419,0.85949,0.95833,0.93581,0.70629,0.77418,0.43911,0.97856,0.000910925,0.000910925,0.000910925
139,1337.8,0.72362,0.45071,0.95305,0.87285,0.96726,0.95916,0.68379,0.73776,0.42602,0.99385,0.00090845,0.00090845,0.00090845
140,1347.42,0.72272,0.45156,0.95583,0.86401,0.97409,0.94068,0.67752,0.81587,0.46279,1.02669,0.000905975,0.000905975,0.000905975
141,1357.04,0.72456,0.44415,0.959,0.87473,0.91649,0.941,0.68729,0.74004,0.45082,0.98555,0.0009035,0.0009035,0.0009035
142,1366.86,0.70786,0.43889,0.94245,0.86093,0.94643,0.92991,0.68321,0.7393,0.44622,0.98184,0.000901025,0.000901025,0.000901025
143,1376.61,0.71922,0.44064,0.95919,0.84917,0.87166,0.90694,0.64549,0.78635,0.46923,0.99355,0.00089855,0.00089855,0.00089855
144,1386.49,0.71914,0.43548,0.94856,0.90543,0.91667,0.93622,0.65726,0.83628,0.42885,1.04218,0.000896075,0.000896075,0.000896075
145,1396.37,0.72142,0.44059,0.95491,0.88728,0.93656,0.95819,0.66434,0.79915,0.44083,0.98971,0.0008936,0.0008936,0.0008936
146,1405.96,0.72446,0.43827,0.94911,0.85187,0.96997,0.94774,0.69169,0.75416,0.41422,0.98347,0.000891125,0.000891125,0.000891125
147,1415.79,0.71311,0.43598,0.94617,0.84735,0.97917,0.95814,0.67105,0.79447,0.43435,0.99501,0.00088865,0.00088865,0.00088865
148,1425.52,0.70269,0.43599,0.94996,0.85099,0.91369,0.93917,0.67309,0.75861,0.43603,0.99067,0.000886175,0.000886175,0.000886175
149,1435.17,0.7176,0.44109,0.95407,0.84685,0.94228,0.93986,0.66525,0.75144,0.44466,1.03591,0.0008837,0.0008837,0.0008837
150,1445.07,0.70563,0.43707,0.94389,0.84364,0.9009,0.91069,0.68677,0.71776,0.48958,0.96468,0.000881225,0.000881225,0.000881225
151,1454.76,0.701,0.43309,0.94861,0.92048,0.92241,0.95224,0.67229,0.77686,0.44156,1.01074,0.00087875,0.00087875,0.00087875
152,1464.39,0.70354,0.43111,0.94675,0.8792,0.91653,0.94112,0.6462,0.83114,0.44294,1.03294,0.000876275,0.000876275,0.000876275
153,1474.39,0.70756,0.43654,0.94651,0.86996,0.93452,0.91862,0.67885,0.77607,0.43363,1.00911,0.0008738,0.0008738,0.0008738
154,1484.04,0.70949,0.431,0.9487,0.86302,0.94375,0.95795,0.69934,0.77624,0.41154,1.01177,0.000871325,0.000871325,0.000871325
155,1493.59,0.71684,0.43764,0.95288,0.90856,0.91667,0.95603,0.68122,0.77817,0.4118,1.02102,0.00086885,0.00086885,0.00086885
156,1503.29,0.70018,0.42537,0.94558,0.86833,0.95833,0.9571,0.67826,0.76392,0.40011,1.00597,0.000866375,0.000866375,0.000866375
157,1513.01,0.70341,0.42868,0.94256,0.85931,0.9256,0.95403,0.66149,0.74105,0.42343,1.01046,0.0008639,0.0008639,0.0008639
158,1522.78,0.69666,0.4294,0.95169,0.92202,0.9192,0.95178,0.69468,0.76854,0.40086,1.03653,0.000861425,0.000861425,0.000861425
159,1532.7,0.69868,0.42688,0.94989,0.81999,0.96726,0.91181,0.68132,0.79607,0.43761,1.01069,0.00085895,0.00085895,0.00085895
160,1542.47,0.68279,0.41983,0.93747,0.87568,0.9028,0.92872,0.65979,0.76241,0.45269,1.00822,0.000856475,0.000856475,0.000856475
161,1552.36,0.68286,0.4241,0.93606,0.88626,0.90672,0.95589,0.68903,0.76124,0.42041,1.01376,0.000854,0.000854,0.000854
162,1562.04,0.68709,0.42189,0.93773,0.89725,0.91068,0.93701,0.6518,0.82837,0.4271,1.03118,0.000851525,0.000851525,0.000851525
163,1571.66,0.7083,0.4333,0.95201,0.84379,0.92947,0.89378,0.65938,0.79345,0.44496,1.03173,0.00084905,0.00084905,0.00084905
164,1581.47,0.70514,0.43173,0.93856,0.86303,0.90935,0.93169,0.6887,0.75765,0.40424,1.01541,0.000846575,0.000846575,0.000846575
165,1591.18,0.67291,0.4143,0.93131,0.83498,0.9256,0.91934,0.67569,0.73073,0.42557,1.02055,0.0008441,0.0008441,0.0008441
166,1600.95,0.69147,0.42294,0.94638,0.89211,0.9256,0.95691,0.66073,0.76936,0.43057,1.02672,0.000841625,0.000841625,0.000841625
167,1610.78,0.69156,0.42263,0.93898,0.83144,0.94409,0.92536,0.69729,0.77372,0.43098,1.01866,0.00083915,0.00083915,0.00083915
168,1620.43,0.69154,0.42011,0.94457,0.88907,0.90476,0.95196,0.69739,0.79448,0.41934,1.02922,0.000836675,0.000836675,0.000836675
169,1629.99,0.68415,0.41477,0.93709,0.88084,0.89286,0.94385,0.67549,0.78971,0.42438,1.01446,0.0008342,0.0008342,0.0008342
170,1639.72,0.67372,0.40805,0.93833,0.94632,0.91886,0.9713,0.67029,0.80734,0.4295,1.01531,0.000831725,0.000831725,0.000831725
171,1649.37,0.6863,0.41543,0.94038,0.86858,0.97591,0.9659,0.66359,0.86921,0.43266,1.03574,0.00082925,0.00082925,0.00082925
172,1658.93,0.70239,0.41923,0.94311,0.85811,0.95536,0.9299,0.67014,0.80846,0.40558,1.05457,0.000826775,0.000826775,0.000826775
173,1668.83,0.69651,0.42431,0.94609,0.83505,0.90255,0.89862,0.63807,0.79531,0.45736,1.05368,0.0008243,0.0008243,0.0008243
174,1678.4,0.68372,0.42087,0.93982,0.81384,0.95833,0.93561,0.66515,0.7877,0.44858,1.04029,0.000821825,0.000821825,0.000821825
175,1688.12,0.67905,0.41873,0.93682,0.85065,0.94988,0.93558,0.66423,0.80962,0.4295,1.04718,0.00081935,0.00081935,0.00081935
176,1698.02,0.69114,0.41696,0.93501,0.87146,0.92394,0.93052,0.64524,0.84367,0.40871,1.03449,0.000816875,0.000816875,0.000816875
177,1707.78,0.69493,0.4214,0.94562,0.87294,0.93905,0.92462,0.67738,0.76965,0.41117,1.06214,0.0008144,0.0008144,0.0008144
178,1717.39,0.69874,0.4232,0.9512,0.85298,0.96987,0.9549,0.67523,0.78401,0.41074,1.0124,0.000811925,0.000811925,0.000811925
179,1727.28,0.68184,0.41792,0.94163,0.83543,0.97917,0.92492,0.66362,0.80578,0.41428,1.06246,0.00080945,0.00080945,0.00080945
180,1736.9,0.68163,0.41977,0.93073,0.87156,0.97787,0.93813,0.67118,0.85136,0.38201,1.06189,0.000806975,0.000806975,0.000806975
181,1746.63,0.68687,0.42255,0.94014,0.88522,0.90778,0.9273,0.67211,0.79222,0.4195,1.07751,0.0008045,0.0008045,0.0008045
182,1756.32,0.68116,0.40934,0.9388,0.86759,0.91691,0.92763,0.65816,0.79024,0.42275,1.04283,0.000802025,0.000802025,0.000802025
183,1765.85,0.67538,0.41162,0.93415,0.87719,0.93452,0.94042,0.66308,0.80428,0.4162,1.03701,0.00079955,0.00079955,0.00079955
184,1775.58,0.67881,0.40992,0.9422,0.9203,0.95833,0.9796,0.66811,0.8473,0.40667,1.05585,0.000797075,0.000797075,0.000797075
185,1785.27,0.68543,0.41045,0.93919,0.91499,0.9479,0.93391,0.66342,0.84265,0.41022,1.06844,0.0007946,0.0007946,0.0007946
